CatalogNumber,otherCatalogNumber,speciesName,Citation,verbatimLatitude,verbatimLongitude,uncertaintyinmeters,eventDate,recordedBy,specimenRemarks,stateprovince,Country,County,Locality,GeoreferenceRemarks,basisofRecord
ACCDC-226986,Coll: UNB. Acc# 11167. Col# 65-46. Evid.: specimen.,Acer rubrum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",Pheno.: fruit.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-227110,Coll: UNB. Acc# 11169. Col# 65-307. Evid.: specimen.,Acer saccharum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Musquash Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-227189,Coll: UNB. Acc# 16491. Col# 64-298. Evid.: specimen.,Acer spicatum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.59,300,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Musquash Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-228007,Coll: UNB. Acc# 12376. Col# 65-45. Evid.: specimen.,Ilex mucronata,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.66,-67.48,5000,1965-06-01,"Roberts, P.R.; Pugh, B.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-228731,Coll: UNB. Acc# 49976. Col# 9338. Evid.: specimen.,Centaurea nigra,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.62,-67.57,10000,1989-08-29,"Hinds, H.R.",Abund.: frequent.  Pheno.: flower & fruit.,New Brunswick,Canada,York,Birch Islands,Contact AC CDC for full precision data,HumanObservation
ACCDC-229029,Coll: UNB; CAN. Acc# 47693; 526344. Col# 6951. Evid.: specimen.,Erigeron strigosus,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.68,-67.46,100,1985-07-16,"Shchepanek, M.J.; Dugal, A.W.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-229138,Coll: UNB. Acc# 41041. Col# 6457. Evid.: specimen.,Eupatorium perfoliatum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.61,-67.58,1000,1983-08-17,"Hinds, H.R.",Abund.: frequent.  Pheno.: flower.,New Brunswick,Canada,York,Sandy Point Island,Contact AC CDC for full precision data,HumanObservation
ACCDC-229461,Coll: UNB; CAN. Acc# 47694; 526345. Col# 6952. Evid.: specimen.,Pilosella officinarum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.68,-67.46,100,1985-07-16,"Shchepanek, M.J.; Dugal, A.W.",Pheno.: fruit.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-229466,Coll: UNB. Acc# 46941. Col# 9325. Evid.: specimen.,Pilosella officinarum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.61,-67.55,7500,1989-08-28,"Flanders, G.; Hinds, H.R.",Abund.: rare.  Pheno.: flower & fruit.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-229790,Coll: UNB; CAN. Acc# 47695; 526346. Col# 6953. Evid.: specimen.,Leucanthemum vulgare,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.68,-67.46,100,1985-07-16,"Shchepanek, M.J.; Dugal, A.W.",Pheno.: flower.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
